ICD_Code,Description,Case_Rate,Health_Facility_Fee,Professional_Fee
D60.0,CHRONIC ACQUIRED PURE RED CELL APLASIA,14235.0,9964.5,4270.5
D60.8,OTHER ACQUIRED PURE RED CELL APLASIAS,14235.0,9964.5,4270.5
D60.9,"ACQUIRED PURE RED CELL APLASIA, UNSPECIFIED",14235.0,9964.5,4270.5
E83.1,DISORDERS OF IRON METABOLISM; HAEMOCHROMATOSIS,14235.0,9964.5,4270.5
E83.8,OTHER DISORDERS OF MINERAL METABOLISM,14235.0,9964.5,4270.5
E84.0,CYSTIC FIBROSIS WITH PULMONARY MANIFESTATIONS,14235.0,9964.5,4270.5
E84.1,CYSTIC FIBROSIS WITH INTESTINAL MANIFESTATIONS,14235.0,9964.5,4270.5
E84.9,"CYSTIC FIBROSIS, UNSPECIFIED",14235.0,9964.5,4270.5
G45.0,VERTEBRO-BASILAR ARTERY SYNDROME,14235.0,9964.5,4270.5
G45.1,HEMISPHERIC CAROTID ARTERY SYNDROME,14235.0,9964.5,4270.5
G45.2,MULTIPLE AND BILATERAL PRECEREBRAL ARTERY SYNDROMES,14235.0,9964.5,4270.5
G45.3,AMAUROSIS FUGAX,14235.0,9964.5,4270.5
G45.4,TRANSIENT GLOBAL AMNESIA,14235.0,9964.5,4270.5
G47.3,2,1060.0,14742.0,6318.0
K66.0,ADHESIONS OF MALE PELVIS; MESENTERICADHESIONS; 2,1060.0,14742.0,6318.0
K66.8,OTHER SPECIFIED DISORDERS OF PERITONEUM 2,1060.0,14742.0,6318.0
K66.9,"DISORDER OF PERITONEUM, UNSPECIFIED 2",1060.0,14742.0,6318.0
Q85.8,JEGHERS SYNDROME; STURGE-WEBER(-DIMITRI)SYNDROME; 2,1060.0,14742.0,6318.0
Q85.9,"PHAKOMATOSIS, UNSPECIFIED; HAMARTOSIS NOS 2",1060.0,14742.0,6318.0
T36.0,POISONING BY PENICILLINS,14235.0,9964.5,4270.5
T36.2,POISONING BY CHLORAMPHENICOL GROUP,14235.0,9964.5,4270.5
T36.3,POISONING BY MACROLIDES,14235.0,9964.5,4270.5
T36.4,POISONING BY TETRACYCLINES,14235.0,9964.5,4270.5
T36.5,POISONING BY AMINOGLYCOSIDES; STREPTOMYCIN,14235.0,9964.5,4270.5
T36.6,POISONING BY RIFAMYCINS,14235.0,9964.5,4270.5
T36.8,POISONING BY OTHER SYSTEMIC ANTIBIOTICS,14235.0,9964.5,4270.5
T36.9,"POISONING BY SYSTEMIC ANTIBIOTIC, UNSPECIFIED",14235.0,9964.5,4270.5
T37.0,POISONING BY SULFONAMIDES,14235.0,9964.5,4270.5
T37.1,POISONING BY ANTIMYCOBACTERIAL DRUGS,14235.0,9964.5,4270.5
T37.4,POISONING BY ANTHELMINTHICS,14235.0,9964.5,4270.5
T37.5,POISONING BY ANTIVIRAL DRUGS,14235.0,9964.5,4270.5
T37.8,ANTIPARASITICS; POISONING BY HYDROXYQUINOLINE,14235.0,9964.5,4270.5
T45.4,POISONING BY IRON AND ITS COMPOUNDS,14235.0,9964.5,4270.5
T45.5,POISONING BY ANTICOAGULANTS,14235.0,9964.5,4270.5
T45.6,POISONING BY FIBRINOLYSIS-AFFECTING DRUGS,14235.0,9964.5,4270.5
T45.8,AND OTHER ANTIANAEMIC AGENTS; POISONING BY NATURAL,14235.0,9964.5,4270.5
T50.0,POISONING BY MINERALOCORTICOIDS AND THEIR ANTAGONISTS 1,2285.0,8599.5,3685.5
T50.1,POISONING BY LOOP [HIGH-CEILING] DIURETICS 1,2285.0,8599.5,3685.5
T50.2,BENZOTHIADIAZIDES AND OTHER DIURETICS;POISONING BY 1,2285.0,8599.5,3685.5
T50.4,POISONING BY DRUGS AFFECTING URIC ACID METABOLISM 1,2285.0,8599.5,3685.5
T50.9,AGENTS; POISONING BY ALKALIZING AGENTS; POISONING BY 1,2285.0,8599.5,3685.5
Y40.0,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y40.2,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y40.4,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y40.6,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y40.8,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y40.9,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y41.0,SULFONAMIDES,14235.0,9964.5,4270.5
Y41.1,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y41.5,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
Y44.2,ADVERSE EFFECTS IN THERAPEUTIC,14235.0,9964.5,4270.5
